Título,Autor,Portada,Páginas,Fecha de publicación,Sinopsis,URL,Colección
Maestros Antiguos,Thomas Bernhard,https://www.catedra.com/imagenes/libros/grande/9788437649382-maestros-antiguos.jpg,240,23/10/2025,"Thomas Bernhard (1931-1989) fue poeta, novelista y dramaturgo, además de un polemista enérgico y elocuente. Su obra, que reúne elementos del absurdo, el existencialismo y la farsa mordaz, se cuenta entre las más admiradas de la literatura contemporánea, tanto por la inmensa originalidad de su estilo como por su inquebrantable crítica a las imposturas y la ambigüedad moral de sus contemporáneos. En ""Maestros Antiguos"" (1985), la última de sus novelas, Bernhard ofrece una aguda reflexión sobre la senectud, así como una suerte de enmienda a la totalidad del arte, sus supuestas reglas y sus presuntas virtudes. En impecable consonancia con el resto de su obra, y de la mano del laberinto verbal originado por su prosa obsesiva, escribe aquí un ejemplo brillante de artificio narrativo y una nueva diatriba contra el Estado y una sociedad frívola que se complace en satirizar.",https://www.catedra.com/libro/letras-universales/maestros-antiguos-thomas-bernhard-9788437649382/,Letras Universales
Las confusiones del cadete Törless,Robert Musil,https://www.catedra.com/imagenes/libros/grande/9788437649375-las-confusiones-del-cadete-torless.jpg,256,09/10/2025,"Aunque Robert Musil (1880-1942) es conocido fundamentalmente por ""El hombre sin atributos"" (1930-1943), su obra comienza mucho antes, y representa, en conjunto, uno de los mayores hitos en la narrativa en lengua alemana del siglo pasado. ""Las confusiones del cadete Törless"" (1906), su primera novela, plantea un detallado análisis del mundo interior de su protagonista, que incursiona con brusquedad en el violento y a menudo sórdido mundo de la adultez. La obra, que transcurre en una escuela militar en el contexto austrohúngaro del fin de siglo, levantó en su momento una imponente polémica, en especial por la crudeza con la que retrata la formación de los jóvenes y sus primeras experiencias con el sexo, la mentira y la injusticia.",https://www.catedra.com/libro/letras-universales/las-confusiones-del-cadete-torless-robert-musil-9788437649375/,Letras Universales
Obras,Jean Le Rond d'Alembert,https://www.catedra.com/imagenes/libros/grande/9788437649160-obras.jpg,488,05/06/2025,"Hace ya un tiempo que la figura de Jean le Rond d'Alembert (1717-1783), tan injustamente soslayada e incluso maltratada en el ámbito hispánico, se está viendo reivindicada según se merece. A la imagen del conocido sabio, científico, enciclopedista y autor del ""Discours"", se superponen la del pensador que hizo posible la emancipación de las ciencias de la moral, la del feminista que opuso una visión igualitaria de la mujer a la percepción machista de su época, la del lingüista, el musicólogo, el defensor de las vacunas y, por fin, la del modelo 
de un nuevo intelectual para este siglo XXI. El presente volumen recoge una selección de las obras que mejor representan al genial socio de Diderot, acompañadas por una interesante introducción y un enriquecedor aparato de notas.",https://www.catedra.com/libro/letras-universales/obras-jean-le-rond-d-alembert-9788437649160/,Letras Universales
Diario del año de la peste,Daniel Defoe,https://www.catedra.com/imagenes/libros/grande/9788437649108-diario-del-ano-de-la-peste.jpg,416,22/05/2025,"De entre todas las narraciones de Daniel Defoe, tal vez ninguna destaque tanto por su versatilidad como ""Diario del año de la peste"". Se trata de una obra en la que confluyen de manera asombrosa la ficción y un rigor que podríamos llamar periodístico o incluso historicista. El resultado es un relato escrito en un estilo excelso (Joyce lo llamó ""magistral""), repleto de heroísmo en las calamidades y tan dinámico como apegado a los terribles sucesos de la que fue la última gran epidemia de peste de Londres, en 1665.
La vida de Daniel Defoe (¿1660?-1731) fue vertiginosa. Sobrevivió a la peste siendo un niño, fue comerciante y acabó en la ruina, ejerció como espía, escribió, entre otras cosas, panfletos políticos y literatura moral, estuvo en la picota y en la cárcel. No fue hasta casi los sesenta años, de hecho, con la publicación del mítico ""Robinson Crusoe"" (1719), libro al que seguirían ""Moll Flanders"" (1722) o ""Diario del año 
de la peste"" (1722), que comenzó a consagrarse como el gran urdidor de ficciones en el que pensamos hoy. Su obra se cuenta sin ninguna duda entre las más famosas e influyentes de la literatura anglosajona.",https://www.catedra.com/libro/letras-universales/diario-del-ano-de-la-peste-daniel-defoe-9788437649108/,Letras Universales
La casa de las orquídeas,Phyllis Shand Allfrey,https://www.catedra.com/imagenes/libros/grande/9788437648866-la-casa-de-las-orquideas.jpg,336,17/04/2025,"A lo largo de su vida, Phyllis Shand Allfrey (1908-1986) se dedicó con notable pasión a la literatura, el feminismo y el activismo político. Como escritora, recibió un importante reconocimiento por su poesía y sus relatos, pero muy especialmente por su primera novela, que esta edición ofrece traducida al castellano por primera vez. ""La casa de las orquídeas"" (1954) representa un clásico temprano de la literatura del Caribe. A lo largo de sus páginas, fuertemente marcadas por la vida de la propia Allfrey, asistimos a un hermoso retrato de la sociedad y la naturaleza en Dominica, una lejana y pequeña isla de las Antillas Menores que, no obstante, constituye un microcosmos del colonialismo europeo y un paradigma del Caribe como mar de encuentros y fusiones. Imbuida de nostalgia, la novela nos presenta a tres hermanas de una familia empobrecida por la decadencia de la plantocracia que regresan a Dominica tras haber hecho sus vidas en el exterior. Allí se reencuentran con Lally, su antigua niñera, que las guiará en la intrahistoria de sus propias raíces y las invitará a resituarse con respecto a sus orígenes y sus distintas formas de vivir.",https://www.catedra.com/libro/letras-universales/la-casa-de-las-orquideas-phyllis-shand-allfrey-9788437648866/,Letras Universales
Impaciencia del corazón,Stefan Zweig,https://www.catedra.com/imagenes/libros/grande/9788437648828-impaciencia-del-corazon.jpg,448,03/04/2025,"Poco antes de la Primera Guerra Mundial, un joven teniente de caballería austrohúngaro se ve involucrado en una situación incómoda, y es que invita a bailar a una joven aristócrata sin saber que sufre una enfermedad que le impide moverse plenamente. A partir de este enredo, surge entre él, la joven y su familia una curiosa relación de amistad basada en la compasión. El conflicto, por supuesto, está servido. La obra de Stefan Zweig (Viena, 1881-Petrópolis, 1942) fue profusa tanto en el ensayo como en la biografía y la narrativa, así como extraordinariamente leída y popular. ""Impaciencia del corazón"" (1938) no solo fue su primera novela larga, sino también la primera publicada en el exilio, concretamente en Estocolmo y Ámsterdam. Se trató, en cualquier caso, de un éxito rotundo que pronto se divulgó a escala internacional, sin duda respaldado por el encanto y la sencillez de su trama. Además de este título de Zweig, Ediciones Cátedra ha publicado ""Veinticuatro horas en la vida de una mujer y otros relatos"" (2023).",https://www.catedra.com/libro/letras-universales/impaciencia-del-corazon-stefan-zweig-9788437648828/,Letras Universales
Prometeo liberado,Percy Bysshe Shelley,https://www.catedra.com/imagenes/libros/grande/9788437648699-prometeo-liberado.jpg,328,27/03/2025,"Percy Bysshe Shelley (1792-1822) fue, junto con Coleridge, Wordsworth, Keats y Byron, uno de los cinco grandes autores del romanticismo inglés. Perteneciente a la segunda generación del movimiento, buscó, en la estela de Coleridge, una poesía que explotase al máximo el poder simbólico de la imaginación, abogando por el lenguaje sonoro y de gran fuerza literaria que situó algunas de sus composiciones entre los clásicos indiscutibles de la poesía europea. El ""Prometeo liberado"" (junto con ""Adonais"", la hermosísima elegía dedicada en su muerte a su rival estético, John Keats) supuso la más alta creación simbólica de Shelley. Escrito ante las ruinas romanas de Caracalla en 1819, se trata de un poema dramático dividido en cuatro actos, y constituye un alegato alegórico en favor de la libertad, que era para el poeta el principal valor del mundo y los seres humanos.",https://www.catedra.com/libro/letras-universales/prometeo-liberado-percy-bysshe-shelley-9788437648699/,Letras Universales
Las obras más hermosas de la literatura acadia,Varios Autores,https://www.catedra.com/imagenes/libros/grande/9788437648675-las-obras-mas-hermosas-de-la-literatura-acadia.jpg,464,20/03/2025,"""Las obras más hermosas de la literatura acadia"" presenta una selección de aquellos textos que, por su importancia y calidad, resultan imprescindibles para acceder no solo al rico y desconocido mundo de la literatura y la cultura en lengua acadia, sino a la antigua Mesopotamia en general. Desde el enigmático poema de ""Adapa"" hasta el satírico ""El hombre pobre de Nippur"", pasando por el seminal ""Enuma elish"" o el manual de gobierno ético de ""Consejos a un príncipe"", el lector encontrará en sus páginas una fascinante colección de joyas literarias, de entre las cuales un buen número se presenta traducido al castellano por primera vez. Esta edición, como la que en esta misma colección se hizo del ""Gilgamesh"" (2015), ofrece cada una de las obras acompañada de una breve introducción que la sitúa en relación con otros textos y con el momento histórico en el que fue compuesta, así como una introducción general y notas explicativas que iluminan numerosas cuestiones de interés artístico, histórico y cultural.",https://www.catedra.com/libro/letras-universales/las-obras-mas-hermosas-de-la-literatura-acadia-varios-autores-9788437648675/,Letras Universales
Esa maldita voz y otros relatos fantasmagóricos,Vernon Lee,https://www.catedra.com/imagenes/libros/grande/9788437648682-esa-maldita-voz-y-otros-relatos-fantasmagoricos.jpg,384,06/03/2025,"Vernon Lee, seudónimo de la británica Violet Paget, nació en 1856 en Boulogne-sur-Mer (Francia), y murió en San Gervasio Bresciano (Italia) en 1935. En la literatura fue precoz y brillante desde época temprana, quedando su vida marcada por una educación cosmopolita y una gran curiosidad que se verían reflejadas en la calidad de sus ensayos y en las documentadísimas ambientaciones de sus obras de ficción. Los seis relatos que recoge este volumen son ""Oke de Okehurst o un amante fantasma"", ""Amour Dure"", ""Esa maldita voz"", ""La leyenda de madame Krasinska"", ""Dionea"" y ""La virgen de los siete puñales"" y se cuentan entre las obras mejor perfiladas de la autora, como lo prueban su vigente popularidad y su continua reedición desde que fueron publicados por primera vez.",https://www.catedra.com/libro/letras-universales/esa-maldita-voz-y-otros-relatos-fantasmagoricos-vernon-lee-9788437648682/,Letras Universales
Ecos de la Era del Jazz y otros ensayos,Francis Scott Fitzgerald,https://www.catedra.com/imagenes/libros/grande/9788437648170-ecos-de-la-era-del-jazz-y-otros-ensayos.jpg,472,10/10/2024,"Sin duda, Francis Scott Fitzgerald (1896-1940) se cuenta entre los escritores estadounidenses más importantes del pasado siglo, y no solo por su estilo impecable, divertido y poético (aunque siempre accesible), sino por la sagacidad con la que supo reflejar en sus textos el espíritu y la idiosincrasia de su época. Este volumen recoge veintidós de los mejores ensayos que Fitzgerald publicó a lo largo de su carrera como colaborador en prensa y en revistas literarias, cuatro de ellos traducidos al castellano por primera vez. A lo largo de sus páginas, el autor habla de sí mismo y sus contemporáneos, sus inquietudes, sus problemas y su tiempo, así como de los míticos espacios y ciudades que le tocó recorrer, desde las urbes inundadas de jazz y de luz de los felices veinte hasta los años prebélicos de la más dura y agria década de 1930.",https://www.catedra.com/libro/letras-universales/ecos-de-la-era-del-jazz-y-otros-ensayos-francis-scott-fitzgerald-9788437648170/,Letras Universales
